bpid,mlbid,Name,Year,Age,Team,Role,G,GS,IP,Pitches,,,,,,,,,,,,,,,,,,,,mlbid,Name,Year,Age,Team,Role,G,GS,IP,Pitches
65829,502578,Aaron Barrett,2020,32,WAS,RP,2,0,1.7,31,,,,,,,,,,,,,,,,,,,,502578,Aaron Barrett,2020,32,WAS,RP,2,0,1.7,31
71057,607481,Aaron Bummer,2020,26,CHW,RP,9,0,9.3,154,,,,,,,,,,,,,,,,,,,,607481,Aaron Bummer,2020,26,CHW,RP,9,0,9.3,154
107636,650644,Aaron Civale,2020,25,CLE,SP,12,12,74,1200,,,,,,,,,,,,,,,,,,,,650644,Aaron Civale,2020,25,CLE,SP,12,12,74.0,1200
120170,667465,Aaron Fletcher,2020,24,SEA,RP,6,0,4.3,121,,,,,,,,,,,,,,,,,,,,667465,Aaron Fletcher,2020,24,SEA,RP,6,0,4.3,121
60619,571901,Aaron Loup,2020,32,TB,RP,24,0,25,341,,,,,,,,,,,,,,,,,,,,571901,Aaron Loup,2020,32,TB,RP,24,0,25.0,341
70943,605400,Aaron Nola,2020,27,PHI,SP,12,12,71.3,1148,,,,,,,,,,,,,,,,,,,,605400,Aaron Nola,2020,27,PHI,SP,12,12,71.3,1148
102744,642083,Aaron Slegers,2020,27,TB,RP,10,0,22,329,,,,,,,,,,,,,,,,,,,,642083,Aaron Slegers,2020,27,TB,RP,10,0,22.0,329
102744,642083,Aaron Slegers,2020,27,TB,SP,1,1,4,58,,,,,,,,,,,,,,,,,,,,642083,Aaron Slegers,2020,27,TB,SP,1,1,4.0,58
103333,643256,Adam Cimber,2020,29,CLE,RP,14,0,11.3,177,,,,,,,,,,,,,,,,,,,,643256,Adam Cimber,2020,29,CLE,RP,14,0,11.3,177
67034,592473,Adam Kolarek,2020,31,LAD,RP,20,0,19,252,,,,,,,,,,,,,,,,,,,,592473,Adam Kolarek,2020,31,LAD,RP,20,0,19.0,252
70472,605388,Adam Morgan,2020,30,PHI,RP,17,0,13,219,,,,,,,,,,,,,,,,,,,,605388,Adam Morgan,2020,30,PHI,RP,17,0,13.0,219
51434,493603,Adam Ottavino,2020,34,NYY,RP,24,0,18.3,339,,,,,,,,,,,,,,,,,,,,493603,Adam Ottavino,2020,34,NYY,RP,24,0,18.3,339
68656,592644,Adam Plutko,2020,28,CLE,RP,6,0,11.7,169,,,,,,,,,,,,,,,,,,,,592644,Adam Plutko,2020,28,CLE,RP,6,0,11.7,169
68656,592644,Adam Plutko,2020,28,CLE,SP,4,4,16,277,,,,,,,,,,,,,,,,,,,,592644,Adam Plutko,2020,28,CLE,SP,4,4,16.0,277
31361,425794,Adam Wainwright,2020,38,STL,SP,10,10,65.7,930,,,,,,,,,,,,,,,,,,,,425794,Adam Wainwright,2020,38,STL,SP,10,10,65.7,930
102443,640470,Adbert Alzolay,2020,25,CHC,RP,2,0,5,83,,,,,,,,,,,,,,,,,,,,640470,Adbert Alzolay,2020,25,CHC,RP,2,0,5.0,83
102443,640470,Adbert Alzolay,2020,25,CHC,SP,4,4,16.3,304,,,,,,,,,,,,,,,,,,,,640470,Adbert Alzolay,2020,25,CHC,SP,4,4,16.3,304
105321,658431,Adonis Medina,2020,23,PHI,SP,1,1,4,84,,,,,,,,,,,,,,,,,,,,658431,Adonis Medina,2020,23,PHI,SP,1,1,4.0,84
69545,605288,Adrian Houser,2020,27,MIL,RP,1,0,1,7,,,,,,,,,,,,,,,,,,,,605288,Adrian Houser,2020,27,MIL,RP,1,0,1.0,7
69545,605288,Adrian Houser,2020,27,MIL,SP,11,11,55,915,,,,,,,,,,,,,,,,,,,,605288,Adrian Houser,2020,27,MIL,SP,11,11,55.0,915
109125,670970,Adrian Morejon,2020,21,SD,RP,5,0,10,169,,,,,,,,,,,,,,,,,,,,670970,Adrian Morejon,2020,21,SD,RP,5,0,10.0,169
109125,670970,Adrian Morejon,2020,21,SD,SP,4,4,9.3,153,,,,,,,,,,,,,,,,,,,,670970,Adrian Morejon,2020,21,SD,SP,4,4,9.3,153
68086,595918,A.J. Cole,2020,28,TOR,RP,24,0,23.3,390,,,,,,,,,,,,,,,,,,,,595918,A.J. Cole,2020,28,TOR,RP,24,0,23.3,390
108235,621345,A.J. Minter,2020,26,ATL,RP,22,0,21.7,397,,,,,,,,,,,,,,,,,,,,621345,A.J. Minter,2020,26,ATL,RP,22,0,21.7,397
60504,573109,AJ Ramos,2020,33,COL,RP,3,0,2.7,66,,,,,,,,,,,,,,,,,,,,573109,AJ Ramos,2020,33,COL,RP,3,0,2.7,66
104651,656061,Albert Abreu,2020,24,NYY,RP,2,0,1.3,43,,,,,,,,,,,,,,,,,,,,656061,Albert Abreu,2020,24,NYY,RP,2,0,1.3,43
100555,621219,Alec Mills,2020,28,CHC,SP,11,11,62.3,945,,,,,,,,,,,,,,,,,,,,621219,Alec Mills,2020,28,CHC,SP,11,11,62.3,945
66960,592222,Alex Claudio,2020,28,MIL,RP,20,0,19,331,,,,,,,,,,,,,,,,,,,,592222,Alex Claudio,2020,28,MIL,RP,20,0,19.0,331
50167,502171,Alex Cobb,2020,32,BAL,SP,10,10,52.3,807,,,,,,,,,,,,,,,,,,,,502171,Alex Cobb,2020,32,BAL,SP,10,10,52.3,807
55735,517008,Alex Colomé,2020,31,CHW,RP,21,0,22.3,366,,,,,,,,,,,,,,,,,,,,517008,Alex Colomé,2020,31,CHW,RP,21,0,22.3,366
104845,656725,Alex McRae,2020,27,CHW,RP,2,0,3,33,,,,,,,,,,,,,,,,,,,,656725,Alex McRae,2020,27,CHW,RP,2,0,3.0,33
102123,621052,Alex Reyes,2020,25,STL,RP,14,0,18.7,345,,,,,,,,,,,,,,,,,,,,621052,Alex Reyes,2020,25,STL,RP,14,0,18.7,345
102123,621052,Alex Reyes,2020,25,STL,SP,1,1,1,24,,,,,,,,,,,,,,,,,,,,621052,Alex Reyes,2020,25,STL,SP,1,1,1.0,24
139955,681911,Alex Vesia,2020,24,MIA,RP,5,0,4.3,133,,,,,,,,,,,,,,,,,,,,681911,Alex Vesia,2020,24,MIA,RP,5,0,4.3,133
100718,622072,Alex Wood,2020,29,LAD,RP,7,0,7.7,175,,,,,,,,,,,,,,,,,,,,622072,Alex Wood,2020,29,LAD,RP,7,0,7.7,175
100718,622072,Alex Wood,2020,29,LAD,SP,2,2,5,107,,,,,,,,,,,,,,,,,,,,622072,Alex Wood,2020,29,LAD,SP,2,2,5.0,107
107169,622065,Alex Young,2020,26,AZ,RP,8,0,15,243,,,,,,,,,,,,,,,,,,,,622065,Alex Young,2020,26,AZ,RP,8,0,15.0,243
107169,622065,Alex Young,2020,26,AZ,SP,7,7,31.3,554,,,,,,,,,,,,,,,,,,,,622065,Alex Young,2020,26,AZ,SP,7,7,31.3,554
70946,607237,Amir Garrett,2020,28,CIN,RP,21,0,18.3,299,,,,,,,,,,,,,,,,,,,,607237,Amir Garrett,2020,28,CIN,RP,21,0,18.3,299
109065,668687,Andre Scrubb,2020,25,HOU,RP,20,0,23.7,407,,,,,,,,,,,,,,,,,,,,668687,Andre Scrubb,2020,25,HOU,RP,20,0,23.7,407
70436,605177,Andrew Chafin,2020,30,CHC,RP,4,0,3,43,,,,,,,,,,,,,,,,,,,,605177,Andrew Chafin,2020,30,CHC,RP,4,0,3.0,43
70436,605177,Andrew Chafin,2020,30,AZ,RP,11,0,6.7,141,,,,,,,,,,,,,,,,,,,,605177,Andrew Chafin,2020,30,AZ,RP,11,0,6.7,141
99874,571760,Andrew Heaney,2020,29,LAA,SP,12,12,66.7,1085,,,,,,,,,,,,,,,,,,,,571760,Andrew Heaney,2020,29,LAA,SP,12,12,66.7,1085
59541,552640,Andrew Kittredge,2020,30,TB,RP,7,0,7.7,110,,,,,,,,,,,,,,,,,,,,552640,Andrew Kittredge,2020,30,TB,RP,7,0,7.7,110
49617,453192,Andrew Miller,2020,35,STL,RP,16,0,13,205,,,,,,,,,,,,,,,,,,,,453192,Andrew Miller,2020,35,STL,RP,16,0,13.0,205
70827,605498,Andrew Suárez,2020,27,SF,RP,6,0,9.7,170,,,,,,,,,,,,,,,,,,,,605498,Andrew Suárez,2020,27,SF,RP,6,0,9.7,170
68702,592811,Andrew Triggs,2020,31,BOS,RP,2,0,4,63,,,,,,,,,,,,,,,,,,,,592811,Andrew Triggs,2020,31,BOS,RP,2,0,4.0,63
68702,592811,Andrew Triggs,2020,31,BOS,SP,2,2,4,86,,,,,,,,,,,,,,,,,,,,592811,Andrew Triggs,2020,31,BOS,SP,2,2,4.0,86
101184,622780,Angel Perdomo,2020,26,MIL,RP,3,0,2.7,85,,,,,,,,,,,,,,,,,,,,622780,Angel Perdomo,2020,26,MIL,RP,3,0,2.7,85
45578,434671,Aníbal Sánchez,2020,36,WAS,SP,11,11,53,971,,,,,,,,,,,,,,,,,,,,434671,Aníbal Sánchez,2020,36,WAS,SP,11,11,53.0,971
71071,607455,Anthony Banda,2020,26,TB,RP,4,0,7,139,,,,,,,,,,,,,,,,,,,,607455,Anthony Banda,2020,26,TB,RP,4,0,7.0,139
58823,542914,Anthony Bass,2020,32,TOR,RP,26,0,25.7,384,,,,,,,,,,,,,,,,,,,,542914,Anthony Bass,2020,32,TOR,RP,26,0,25.7,384
100659,621532,Anthony Bemboom,2020,30,LAA,RP,1,0,1,16,,,,,,,,,,,,,,,,,,,,621532,Anthony Bemboom,2020,30,LAA,RP,1,0,1.0,16
100687,621593,Anthony Castro,2020,25,DET,RP,1,0,1,17,,,,,,,,,,,,,,,,,,,,621593,Anthony Castro,2020,25,DET,RP,1,0,1.0,17
70803,543101,Anthony DeSclafani,2020,30,CIN,RP,2,0,4,58,,,,,,,,,,,,,,,,,,,,543101,Anthony DeSclafani,2020,30,CIN,RP,2,0,4.0,58
70803,543101,Anthony DeSclafani,2020,30,CIN,SP,7,7,29.7,544,,,,,,,,,,,,,,,,,,,,543101,Anthony DeSclafani,2020,30,CIN,SP,7,7,29.7,544
109127,641743,Anthony Kay,2020,25,TOR,RP,13,0,21,409,,,,,,,,,,,,,,,,,,,,641743,Anthony Kay,2020,25,TOR,RP,13,0,21.0,409
106490,664948,Anthony Misiewicz,2020,25,SEA,RP,21,0,20,328,,,,,,,,,,,,,,,,,,,,664948,Anthony Misiewicz,2020,25,SEA,RP,21,0,20.0,328
106867,665733,Antonio Santos,2020,23,COL,RP,2,0,5.3,96,,,,,,,,,,,,,,,,,,,,665733,Antonio Santos,2020,23,COL,RP,2,0,5.3,96
101060,622608,Antonio Senzatela,2020,25,COL,SP,12,12,73.3,1136,,,,,,,,,,,,,,,,,,,,622608,Antonio Senzatela,2020,25,COL,SP,12,12,73.3,1136
70431,605151,Archie Bradley,2020,27,CIN,RP,6,0,7.7,121,,,,,,,,,,,,,,,,,,,,605151,Archie Bradley,2020,27,CIN,RP,6,0,7.7,121
70431,605151,Archie Bradley,2020,27,AZ,RP,10,0,10.7,155,,,,,,,,,,,,,,,,,,,,605151,Archie Bradley,2020,27,AZ,RP,10,0,10.7,155
103066,642558,Ariel Jurado,2020,24,NYM,SP,1,1,4,84,,,,,,,,,,,,,,,,,,,,642558,Ariel Jurado,2020,24,NYM,SP,1,1,4.0,84
53014,547973,Aroldis Chapman,2020,32,NYY,RP,13,0,11.7,199,,,,,,,,,,,,,,,,,,,,547973,Aroldis Chapman,2020,32,NYY,RP,13,0,11.7,199
103771,592499,Artie Lewicki,2020,28,AZ,RP,2,0,3.3,57,,,,,,,,,,,,,,,,,,,,592499,Artie Lewicki,2020,28,AZ,RP,2,0,3.3,57
67154,592879,Asher Wojciechowski,2020,31,BAL,RP,3,0,5.7,113,,,,,,,,,,,,,,,,,,,,592879,Asher Wojciechowski,2020,31,BAL,RP,3,0,5.7,113
67154,592879,Asher Wojciechowski,2020,31,BAL,SP,7,7,31.3,561,,,,,,,,,,,,,,,,,,,,592879,Asher Wojciechowski,2020,31,BAL,SP,7,7,31.3,561
101459,623485,Ashton Goudeau,2020,27,COL,RP,4,0,8.3,115,,,,,,,,,,,,,,,,,,,,623485,Ashton Goudeau,2020,27,COL,RP,4,0,8.3,115
100392,613534,Austin Adams,2020,29,SD,RP,3,0,4,74,,,,,,,,,,,,,,,,,,,,613534,Austin Adams,2020,29,SD,RP,3,0,4.0,74
66940,592169,Austin Brice,2020,28,BOS,RP,20,0,18.7,330,,,,,,,,,,,,,,,,,,,,592169,Austin Brice,2020,28,BOS,RP,20,0,18.7,330
